id,county,total_mean_temp_change,total_max_temp_change
37.6464_-121.8861,Alameda,.20739931,-.0069157421
38.5973_-119.8207,Alpine,4.7870188,2.9329872
38.4461_-120.6520,Amador,.95957053,-.4550015
39.6670_-121.6006,Butte,1.9098138,1.2039609
38.2047_-120.5541,Calaveras,1.8055677,.65260005
39.1776_-122.2370,Colusa,1.5010571,1.6253436
37.9192_-121.9263,Contra Costa,-.13062604,-1.2582616
41.7431_-123.8968,Del Norte,.74273556,-.36606193
38.7786_-120.5248,El Dorado,1.8629699,.84003073
36.7584_-119.6504,Fresno,1.821102,2.3494635
39.5984_-122.3922,Glenn,2.5772717,2.7816961
40.6989_-123.8733,Humboldt,1.23051,.91435987
33.0396_-115.3653,Imperial,1.0052252,.71585786
36.5111_-117.4108,Inyo,4.1776438,4.050808
35.3429_-118.7298,Kern,1.7066336,1.8023289
36.0753_-119.8155,Kings,1.2313728,2.2065349
39.0996_-122.7532,Lake,2.1026089,1.5456401
40.6736_-120.5943,Lassen,4.2000299,2.2380495
34.3231_-118.2249,Los Angeles,2.6128678,1.5150695
37.2181_-119.7626,Madera,2.4027455,2.2879455
38.0724_-122.7183,Marin,-.071799815,-.18407138
37.5816_-119.9051,Mariposa,4.0855532,3.8747308
39.4403_-123.3912,Mendocino,.0045008329,-.89245105
37.1922_-120.7182,Merced,.80912805,1.2703985
41.5898_-120.7250,Modoc,2.0880671,1.4183623
37.9390_-118.8866,Mono,3.4181745,2.8360825
36.2172_-121.2390,Monterey,2.3326719,.89453131
38.5064_-122.3305,Napa,1.1863638,1.1130919
39.3014_-120.7682,Nevada,3.2945278,.93371034
33.7029_-117.7610,Orange,1.7070955,2.1534364
39.0636_-120.7175,Placer,2.6144259,1.5925658
40.0047_-120.8386,Plumas,2.7561762,.51226646
33.7437_-115.9938,Riverside,3.1044929,1.1931345
38.4493_-121.3438,Sacramento,.64246362,.99194139
36.6057_-121.0750,San Benito,2.7351174,1.443638
34.8415_-116.1784,San Bernardino,1.9833263,.54061568
33.0360_-116.7329,San Diego,1.9930158,1.3009163
37.7557_-122.4428,San Francisco,.22691993,-1.2183642
37.9344_-121.2715,San Joaquin,1.1199046,.96954906
35.3871_-120.4040,San Luis Obispo,2.3799725,1.5973941
37.4220_-122.3289,San Mateo,.67794853,-1.7254193
34.6730_-120.0167,Santa Barbara,.706429,1.7978146
37.2316_-121.6948,Santa Clara,.79938638,-.46275485
37.0562_-122.0018,Santa Cruz,.63605398,.00020212539
40.7637_-122.0405,Shasta,2.6544859,2.4690571
39.5804_-120.5161,Sierra,3.1820753,1.6265581
41.5927_-122.5403,Siskiyou,2.1216228,1.3976793
38.2700_-121.9326,Solano,.34249857,-.35418802
38.5284_-122.8871,Sonoma,-.3604539,-.13429163
37.5591_-120.9976,Stanislaus,1.5256677,1.511964
39.0347_-121.6948,Sutter,.70110166,1.2512859
40.1257_-122.2339,Tehama,1.2209573,1.2325587
40.6507_-123.1126,Trinity,1.9128973,.11979247
36.2201_-118.8005,Tulare,2.0602441,1.8292564
38.0272_-119.9553,Tuolumne,4.2058616,2.9532149
34.4566_-119.0836,Ventura,.36821038,1.2063978
38.6867_-121.9017,Yolo,1.4346509,1.6128376
39.2690_-121.3512,Yuba,1.3674936,.94708067
