year,avg_mean_temp_cyr,avg_max_temp_cyr,avg_min_temp_cyr,avg_precip_cyr
1981,57.508335,70.191666,44.808334,.44166666
1982,54.458332,66.066666,42.841667,.63
1983,55.116665,66.408333,43.866665,1.0708333
1984,56.383335,68.425003,44.325001,.57916665
1985,55.450001,68.5,42.375,.29750001
1986,56.958332,69.474998,44.458332,.435
1987,56.391666,67.783333,45.016666,.54833335
1988,57.708332,69.574997,45.808334,.46000001
1989,58.858334,70.949997,46.75,.11916666
1990,57.708332,70.050003,45.391666,.29333332
1991,57.900002,69.958336,45.858334,.4375
1992,58.658333,70.199997,47.191666,.71583331
1993,56.666668,68.925003,44.408333,.59249997
1994,57.950001,69.783333,46.083332,.29249999
1995,57.958332,69.949997,46,.69749999
1996,59.133335,71.25,47,.49666667
1997,58.066666,70.099998,46.008335,.39666668
1998,55.150002,66.824997,43.450001,.92416668
1999,58.491665,70.741669,46.224998,.3425
2000,58.733334,70.883331,46.591667,.33000001
2001,58.75,70.425003,47.058334,.48333332
2002,59.116665,71.5,46.724998,.24583334
2003,59.474998,71.275002,47.683334,.45166665
2004,58.25,70.35833,46.141666,.57583332
2005,58.25,70.341667,46.183334,.74333334
2006,58.125,70.491669,45.766666,.35499999
2007,58.808334,70.800003,46.808334,.32499999
2008,58.933334,71.074997,46.825001,.38749999
2009,58.825001,71.091667,46.566666,.30333334
2010,57.275002,68.816666,45.724998,.78500003
2011,57.924999,69.991669,45.816666,.22916667
2012,60.683334,72.708336,48.691666,.32666665
2013,59.575001,71.991669,47.150002,.19333333
2014,61.808334,74.258331,49.383335,.31
2015,60.375,71.991669,48.733334,.32749999
2016,60.316666,71.875,48.791668,.34999999
2017,60.466667,72.041664,48.941666,.65499997
2018,56.016666,68.183334,43.816666,.42333335
