id,longitude,latitude,idnum,mean_coeff
33.0360_-116.7329,33.036,-116.7329,1,.011093871
33.0396_-115.3653,33.0396,-115.3653,2,.0042308099
33.7437_-115.9938,33.7437,-115.9938,3,.0052868007
34.6730_-120.0167,34.673,-120.0167,4,.0093530538
34.8415_-116.1784,34.8415,-116.1784,5,.0010020871
35.3429_-118.7298,35.3429,-118.7298,6,.0099606765
35.3871_-120.4040,35.3871,-120.404,7,.0039937994
36.0753_-119.8155,36.0753,-119.8155,8,.010704567
36.5111_-117.4108,36.5111,-117.4108,9,.015198409
36.6057_-121.0750,36.6057,-121.075,10,.0064939796
36.7584_-119.6504,36.7584,-119.6504,11,.013153988
37.0562_-122.0018,37.0562,-122.0018,12,.0066608596
37.2316_-121.6948,37.2316,-121.6948,13,.00010144561
37.4220_-122.3289,37.422,-122.3289,14,-.0023600119
37.7557_-122.4428,37.7557,-122.4428,15,.0018144459
37.9192_-121.9263,37.9192,-121.9263,16,-.0061173886
37.9344_-121.2715,37.9344,-121.2715,17,.0097880149
38.2047_-120.5541,38.2047,-120.5541,18,.0039981562
38.4493_-121.3438,38.4493,-121.3438,19,.0079792589
38.7786_-120.5248,38.7786,-120.5248,20,.0025896668
39.0996_-122.7532,39.0996,-122.7532,21,.0039025464
39.1776_-122.2370,39.1776,-122.237,22,.011167418
39.5984_-122.3922,39.5984,-122.3922,23,.014786442
39.6670_-121.6006,39.667,-121.6006,24,.0064658546
40.0047_-120.8386,40.0047,-120.8386,25,.00023256853
40.6989_-123.8733,40.6989,-123.8733,26,.00602481
40.7637_-122.0405,40.7637,-122.0405,27,.0093068611
41.7431_-123.8968,41.7431,-123.8968,28,-.0049082967
